Acceleration,Battery,Brand,Drive,Efficiency,Fastcharge,Market_Segment,Model,Price_GE,Price_Nl,Price_UK,Range,Seat,Topspeed,Tow_Capacity
9.0 sec,52,Audi,Rear Wheel Drive,176 Wh/km,370 km/h,C,Q4 Sportback e-tron 35,N/A,"€53,915","£46,190",295 km,5,160 km/h,0
13.3 sec,68,Citroen,Front Wheel Drive,257 Wh/km,290 km/h,N,e-Jumpy Combi M 75 kWh,"€57,940","€57,367",N/A,265 km,9,130 km/h,1000
2.8 sec,83.7,Porsche,All Wheel Drive,212 Wh/km,970 km/h,F,Taycan Turbo S Sport Turismo,"€190,620","€197,900","£143,400",395 km,4,260 km/h,
11.7 sec,45,Peugeot,Front Wheel Drive,231 Wh/km,310 km/h,N,e-Rifter Long 50 kWh,"€42,440","€41,430","£33,630",195 km,7,135 km/h,750
6.6 sec,58,CUPRA,Rear Wheel Drive,168 Wh/km,460 km/h,C,Born 170 kW - 58 kWh,"€40,750","€45,990","£37,445",345 km,5,160 km/h,
9.9 sec,39.2,Kia,Front Wheel Drive,170 Wh/km,200 km/h,B,e-Soul 39.2 kWh,N/A,"€37,295","£32,795",230 km,5,157 km/h,
6.9 sec,76.6,Audi,All Wheel Drive,192 Wh/km,500 km/h,C,Q4 Sportback e-tron 45 quattro,"€55,900","€63,225",N/A,400 km,5,180 km/h,1200
6.3 sec,70,Ford,All Wheel Drive,203 Wh/km,360 km/h,D,Mustang Mach-E SR AWD,"€69,200","€68,770","£74,540",345 km,5,180 km/h,750
13.3 sec,68,Opel,Front Wheel Drive,257 Wh/km,290 km/h,N,Vivaro-e Combi M 75 kWh,"€56,942","€55,822",N/A,265 km,9,130 km/h,1000
4.3 sec,90.6,Mercedes,All Wheel Drive,208 Wh/km,650 km/h,E,EQE SUV AMG 43 4MATIC,"* €120,000","* €120,000",N/A,435 km,5,210 km/h,1800
6.2 sec,77,Skoda,All Wheel Drive,200 Wh/km,530 km/h,C,Enyaq iV RS,"* €60,000","* €63,000",N/A,385 km,5,180 km/h,1200
11.2 sec,45,Toyota,Front Wheel Drive,220 Wh/km,330 km/h,N,Proace City Verso Electric L1 50 kWh,"€37,800","€45,495",N/A,205 km,5,135 km/h,750
13.1 sec,68,Toyota,Front Wheel Drive,257 Wh/km,290 km/h,N,PROACE Verso M 75 kWh,"€64,530",N/A,N/A,265 km,8,130 km/h,1000
9.0 sec,37.3,Fiat,Front Wheel Drive,162 Wh/km,380 km/h,B,500e Cabrio 42 kWh,"€37,990","€37,290","£32,085",230 km,4,150 km/h,
3.9 sec,70.5,NIO,All Wheel Drive,207 Wh/km,460 km/h,F,EL7 75 kWh,"€86,850","€88,900",N/A,340 km,5,200 km/h,2000
11.2 sec,45,Toyota,Front Wheel Drive,225 Wh/km,320 km/h,N,Proace City Verso Electric L2 50 kWh,"€40,150","€46,895",N/A,200 km,7,135 km/h,750
12.0 sec,90,Mercedes,Front Wheel Drive,290 Wh/km,310 km/h,N,eVito Tourer Long 90 kWh,"€64,248","€76,563","£62,694",310 km,9,160 km/h,
11.7 sec,45,Opel,Front Wheel Drive,231 Wh/km,310 km/h,N,Combo-e Life XL 50 kWh,"€44,750",N/A,"£31,710",195 km,7,135 km/h,750
13.3 sec,68,Opel,Front Wheel Drive,262 Wh/km,280 km/h,N,Zafira-e Life L 75 kWh,"€70,075","€66,167",N/A,260 km,9,130 km/h,1000
4.0 sec,74,Genesis,All Wheel Drive,203 Wh/km,950 km/h,C,GV60 Sport Plus,"€71,010",N/A,"£65,405",365 km,5,235 km/h,1600
9.0 sec,21.3,Fiat,Front Wheel Drive,158 Wh/km,230 km/h,B,500e 3+1 24 kWh,N/A,"€32,290",N/A,135 km,4,135 km/h,
14.3 sec,68,Peugeot,Front Wheel Drive,262 Wh/km,280 km/h,N,e-Expert Combi Long 75 kWh,"€58,730","€59,303",N/A,260 km,9,130 km/h,1000
2.9 sec,83.7,Porsche,All Wheel Drive,217 Wh/km,950 km/h,F,Taycan Turbo S Cross Turismo,"€191,096","€198,400","£143,400",385 km,4,250 km/h,
13.3 sec,68,Fiat,Front Wheel Drive,262 Wh/km,280 km/h,N,E-Ulysse L3 75 kWh,"€62,990",N/A,N/A,260 km,8,130 km/h,1000
12.1 sec,45,Opel,Front Wheel Drive,250 Wh/km,290 km/h,N,Vivaro-e Combi M 50 kWh,"€50,992","€46,868","£31,795",180 km,9,130 km/h,1000
5.4 sec,83.7,Porsche,Rear Wheel Drive,188 Wh/km,1090 km/h,F,Taycan Plus Sport Turismo,"€95,074","€99,943","£80,549",445 km,4,230 km/h,
5.4 sec,71,Porsche,Rear Wheel Drive,187 Wh/km,930 km/h,F,Taycan Sport Turismo,"€89,351","€93,899","£76,500",380 km,4,230 km/h,
11.7 sec,45,Opel,Front Wheel Drive,225 Wh/km,320 km/h,N,Combo-e Life 50 kWh,"€43,050","€39,434","£31,110",200 km,7,135 km/h,750
12.1 sec,90,Mercedes,Front Wheel Drive,295 Wh/km,310 km/h,N,EQV 300 Extra-Long,"€72,519","€82,002",N/A,305 km,7,160 km/h,
9.0 sec,21.3,Fiat,Front Wheel Drive,158 Wh/km,230 km/h,B,500e Cabrio 24 kWh,"€35,490","€33,290",N/A,135 km,4,135 km/h,
14.3 sec,68,Peugeot,Front Wheel Drive,262 Wh/km,280 km/h,N,e-Traveller Long 75 kWh,"€60,430","€68,378",N/A,260 km,9,130 km/h,1000
12.1 sec,45,Citroen,Front Wheel Drive,250 Wh/km,290 km/h,N,e-SpaceTourer M 50 kWh,"€53,640","€57,428","£47,495",180 km,9,130 km/h,1000
4.1 sec,83.7,Porsche,All Wheel Drive,197 Wh/km,1050 km/h,F,Taycan 4S Cross Turismo,"€114,222","€119,700","£91,000",425 km,4,240 km/h,
13.1 sec,68,Toyota,Front Wheel Drive,262 Wh/km,280 km/h,N,PROACE Shuttle M 75 kWh,N/A,"€60,045",N/A,260 km,9,130 km/h,1000
11.7 sec,45,Citroen,Front Wheel Drive,231 Wh/km,310 km/h,N,e-Berlingo XL 50 kWh,"€43,640","€44,920","£31,995",195 km,7,135 km/h,750
12.0 sec,60,Mercedes,Front Wheel Drive,293 Wh/km,190 km/h,N,EQV 250 Long,"€68,056",N/A,N/A,205 km,7,160 km/h,
12.0 sec,90,Mercedes,Front Wheel Drive,295 Wh/km,310 km/h,N,eVito Tourer Extra-Long 90 kWh,"€65,140","€77,719","£63,954",305 km,9,160 km/h,
3.7 sec,83.7,Porsche,All Wheel Drive,197 Wh/km,1050 km/h,F,Taycan GTS Sport Turismo,"€135,166","€141,400","£107,000",425 km,4,250 km/h,
13.3 sec,68,Citroen,Front Wheel Drive,257 Wh/km,290 km/h,N,e-SpaceTourer M 75 kWh,"€59,640","€66,442",N/A,265 km,9,130 km/h,1000
4.0 sec,71,Porsche,All Wheel Drive,192 Wh/km,910 km/h,F,Taycan 4S Sport Turismo,"€109,819","€114,200","£87,500",370 km,4,250 km/h,
11.7 sec,45,Peugeot,Front Wheel Drive,225 Wh/km,320 km/h,N,e-Rifter Standard 50 kWh,"€41,240","€39,620","£31,600",200 km,7,135 km/h,750
13.1 sec,45,Peugeot,Front Wheel Drive,250 Wh/km,290 km/h,N,e-Traveller Standard 50 kWh,"€53,640","€57,428","£49,100",180 km,9,130 km/h,1000
4.0 sec,83.7,Porsche,All Wheel Drive,195 Wh/km,1060 km/h,F,Taycan 4S Plus Sport Turismo,"€115,341","€120,031","£91,406",430 km,4,250 km/h,
13.1 sec,68,Toyota,Front Wheel Drive,262 Wh/km,280 km/h,N,PROACE Shuttle L 75 kWh,N/A,"€69,745",N/A,260 km,9,130 km/h,1000
